zona,atraccion,tiempo_espera,abierta,ultima_actualizacion,fecha,hora,dia_semana,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,temporada
Cartoon Village,Convoy de Camiones,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Correcaminos Bip Bip,20,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Emergencias Pato Lucas,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Escuela de Conducción Yabba-Dabba-Doo,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,He Visto un Lindo Gatito,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,La Aventura de Scooby-Doo,10,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,La Captura de Gossamer,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Looney Tunes Correo Aéreo,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
